City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
135,Insar,RU,53.8653,44.3738,67.73,77,60,7.25,broken clouds
136,Sayyan,YE,15.1718,44.3244,64.29,65,18,1.9,few clouds
137,San Cristobal,VE,7.7669,-72.225,81.66,50,51,6.6,broken clouds
138,Moranbah,AU,-22.0016,148.0466,61.29,82,0,5.46,clear sky
139,Namatanai,PG,-3.6667,152.4333,77.94,81,87,7.74,overcast clouds
140,Kokoda,PG,-8.8785,147.7407,71.31,90,89,1.52,overcast clouds
141,Tasiilaq,GL,65.6145,-37.6368,41.16,85,100,2.1,overcast clouds
142,Nikolskoye,RU,59.7035,30.7861,66.09,65,22,4.59,few clouds
143,Oistins,BB,13.0667,-59.5333,84.51,75,100,17.98,overcast clouds
144,Sinnai,IT,39.3042,9.2036,82.47,72,0,2.3,clear sky
145,Zirgan,RU,53.2222,55.9185,60.82,70,0,2.37,clear sky
146,College,US,64.8569,-147.8028,72.46,53,1,3.0,clear sky
147,Itaituba,BR,-4.2761,-55.9836,95.74,29,77,4.45,broken clouds
148,Novyy Urengoy,RU,66.0833,76.6333,64.04,67,100,9.57,light rain
149,Santa Cruz Cabralia,BR,-16.2781,-39.0247,73.22,73,43,6.8,scattered clouds
150,Twin Falls,US,42.3505,-114.6445,82.29,41,100,20.71,light rain
151,Burnie,AU,-41.0667,145.9167,53.92,87,87,20.11,light rain
152,Wattegama,LK,6.7989,81.4808,75.87,75,100,7.72,overcast clouds
153,Zhangye,CN,38.9342,100.4517,78.1,50,0,3.71,clear sky
154,Bud,US,39.447,-86.1758,81.19,87,100,6.85,overcast clouds
155,Katobu,ID,-4.9408,122.5276,71.38,92,100,2.59,overcast clouds
156,Tuktoyaktuk,CA,69.4541,-133.0374,58.64,62,78,6.08,broken clouds
157,Vagur,FO,61.4732,-6.8119,48.4,79,60,15.28,broken clouds
158,Palmaner,IN,13.2,78.75,71.94,86,100,10.8,overcast clouds
159,Roald,NO,62.5833,6.1333,57.76,87,75,8.05,broken clouds
160,Narsaq,GL,60.9167,-46.05,52.02,87,99,2.64,overcast clouds
161,Willowmore,ZA,-33.2926,23.4895,51.03,82,81,6.76,broken clouds
162,Kaka,TM,37.3482,59.6143,84.42,20,0,3.49,clear sky
163,Dunedin,NZ,-45.8742,170.5036,56.08,57,100,13.87,overcast clouds
164,Katsuura,JP,35.1333,140.3,74.41,92,100,14.52,overcast clouds
165,Velez-Malaga,ES,36.7726,-4.1005,83.55,60,0,2.44,light rain
166,Port Moresby,PG,-9.4431,147.1797,75.02,88,27,0.89,scattered clouds
167,Torbay,CA,47.6666,-52.7314,77.76,79,100,4.0,overcast clouds
168,Havoysund,NO,70.9963,24.6622,59.23,92,93,15.37,overcast clouds
169,Berlevag,NO,70.8578,29.0864,62.6,82,40,9.22,scattered clouds
170,Alice Springs,AU,-23.7,133.8833,51.35,66,20,6.91,few clouds
171,Masvingo,ZW,-20.0637,30.8277,62.71,49,0,6.85,clear sky
172,Luderitz,NA,-26.6481,15.1594,56.26,79,0,11.5,clear sky
